"Scenario Title","Business Situation (1-2 lines)","Primary Decision","Options (A-D)","Best Option (A/B/C/D)","What Good Looks Like (Outcome)","What Goes Wrong (If Poor Choice)","Difficulty (Low / Medium / High)","Area / Theme"
"Possible Safeguarding Concern","A colleague is worried about an unaccompanied child in store for 40 minutes.","What priority response do you take this shift?","A) Loss-control: follow safeguarding protocol now  B) People-team: check the colleague is supported  C) Customer: locate parent via tannoy and stay with the child  D) Commercial: continue trade, monitor","A","Child safely reunited, protocol followed, colleague feels supported in raising it","Worst-case safeguarding incident, colleague never raises a concern again","High","Safety / Loss / Customer"
"New Starter Overwhelmed","Two weeks in, a colleague hasn't eaten lunch all week. Peers see it but say nothing.","What priority response do you take this shift?","A) Loss-control: ignore until competence improves  B) People-team: 1:1, recalibrate workload, assign a buddy  C) Customer: move them off customer-facing tasks  D) Commercial: accelerate training intensity","B","New starter stabilises, retention saved, team learns to flag earlier","Early leaver, peers learn that struggling is invisible, recruitment cycle restarts","Medium","People"
"Till Float Variance Two Desks","The same colleague signed both off. A pattern, not a one-off.","What priority response do you take this shift?","A) Loss-control: investigate and follow LP process  B) People-team: coach the colleague on float discipline  C) Customer: keep them on customer-facing tasks  D) Commercial: write off and move on","A","Issue resolved cleanly via process, deterrent effect, no repeat","If theft, it compounds; if process, it's missed; either way trust in cash control erodes","Medium","Safety / Loss"
"Fresh Bread 40% Out","The in-store bake is behind schedule with peak trade in an hour.","What priority response do you take this shift?","A) Loss-control: ration what's left  B) People-team: pull a colleague to support bakery  C) Customer: signage, alternatives, recovery  D) Commercial: prioritise bake and accept short-term gap","D","Bread back on shelf for peak, sales held, customers recovered with alternatives","Lost sales, complaint pattern, bakery KPI hit","Medium","Commercial / Customer"
"Car Park Trolleys Stacked","The colleague rota for retrieval slipped. Complaints starting at customer service.","What priority response do you take this shift?","A) Loss-control: ignore until trolleys are needed  B) People-team: rebrief the rota, hold supervisor accountable  C) Customer: clear the car park now, apologise  D) Commercial: order more trolleys","C","Car park clears in 15 minutes, customer entry experience restored","Complaint volume builds, customer-perception scores drop","Low","Customer"
"Fridge 2C Above Spec","The engineer was called last week, same unit flagged again. Stock still on sale.","What priority response do you take this shift?","A) Loss-control: pull the stock now, escalate engineer  B) People-team: brief team on temperature checks  C) Customer: leave on sale and monitor  D) Commercial: discount to clear before failure","A","Risk closed, no food-safety incident, engineer prioritised","Food-safety incident, EHO escalation, brand and regulatory risk","High","Safety / Loss / Commercial"
"Self-Scan Errors Spiking","One bank is throwing item-not-recognised errors. Supervisor overrides at 40 per hour.","What priority response do you take this shift?","A) Loss-control: close the bank, audit overrides  B) People-team: support the supervisor  C) Customer: divert customers to other tills  D) Commercial: keep open and track","C","Customer flow protected, supervisor unblocked, root cause raised with IT","Override pattern hides shrinkage, customers abandon baskets, supervisor burns out","Medium","Customer / Commercial"
"Lone Working on Service Desk","A second colleague was pulled away for an escalation, leaving the desk solo for 30 minutes.","What priority response do you take this shift?","A) Loss-control: enforce two-up rule immediately  B) People-team: restore cover and check on the colleague  C) Customer: keep service desk open at all costs  D) Commercial: continue trade as normal","B","Cover restored, colleague feels supported, lone-working policy reinforced","Colleague safety incident, policy breach exposed, trust eroded","Medium","People / Safety / Loss"
"Aggressive Customer Incident","Incident is logged but the colleague is back on the shop floor. Wellbeing unclear.","What priority response do you take this shift?","A) Loss-control: ban the customer and update protocol  B) People-team: 1:1 with colleague, offer wellbeing time  C) Customer: focus on next customer interaction  D) Commercial: continue trade as normal","B","Colleague feels protected, returns next shift confident, team sees the standard","Colleague absence or resignation, others learn aggression isn't taken seriously","High","People / Safety / Loss"
"Promotion Pricing Error","The shelf edge shows 2-for-5 but the till rings at full price. Complaints building.","What priority response do you take this shift?","A) Loss-control: enforce till price strictly  B) People-team: brief team on offer policy  C) Customer: honour shelf price for the day, fix label  D) Commercial: pull the offer","C","Customers honoured, complaints reverse to goodwill, label fixed within the hour","Customer-experience score crashes, complaints external, head-office escalation","Medium","Customer / Commercial"
"Online Picking Behind","The van leaves in 45 minutes. Pickers are short two colleagues, trolleys half done.","What priority response do you take this shift?","A) Loss-control: prioritise high-value SKUs only  B) People-team: pull two colleagues from another task  C) Customer: notify online customers of substitutions  D) Commercial: replan the slot or push to next van","D","Slot hits, online customer experience held, in-store impact contained","Failed slot, refunds, online NPS hit, repeat-purchase damage","Medium","Commercial / Customer"
"WhatsApp Group Heated","Screenshots are circulating about a manager's tone. You've not been added.","What priority response do you take this shift?","A) Loss-control: discipline the screenshot sharer  B) People-team: address openly with the team and the manager  C) Customer: ignore as internal  D) Commercial: ignore as internal","B","Issue surfaced openly, manager grows from feedback, group dynamic resets","Resentment hardens underground, you're the last to know about the next one, manager's authority erodes","Medium","People / Leadership"
"EHO Visit This Afternoon","Environmental Health confirmed a visit between 2 and 4pm. Last audit flagged two actions in bakery.","What priority response do you take this shift?","A) Loss-control: walk the actions with bakery now  B) People-team: brief team on the visit  C) Customer: business-as-usual visible to customers  D) Commercial: minimise risk by closing bakery","A","Visit passes cleanly, prior actions closed, no compliance hit","Repeat findings, formal action, brand and licence risk","High","Safety / Loss / Commercial"
"Weekend Rota Undersized","Saturday shows 11 colleagues against a forecast of 14. Two holiday approvals sit with you.","What priority response do you take this shift?","A) Loss-control: deny holidays  B) People-team: explore voluntary cover and approve fairly  C) Customer: reduce service hours Saturday  D) Commercial: reforecast volume down","B","Saturday covered, holidays handled fairly, team trust intact","Either understaffing on the day or holiday refusals breed resentment, both compound","Medium","People / Commercial"
"Markdowns Concentrated One Aisle","Produce is hitting a 60% markdown rate this week. Buyer wants a store view by EOD.","What priority response do you take this shift?","A) Loss-control: stop discretionary markdowns  B) People-team: brief produce team on root cause  C) Customer: improve aisle freshness perception  D) Commercial: full root-cause and reply to buyer","D","Pattern explained, ordering or facing fixed, buyer relationship strengthened","Buyer assumes store mismanagement, future ranging worsens, margin compounds","Medium","Commercial"
"Colleague Filmed a Customer","Colleague claims it was for evidence of aggressive behaviour. Customer threatens to report.","What priority response do you take this shift?","A) Loss-control: take device, follow conduct policy  B) People-team: 1:1 to address judgement  C) Customer: contact the customer to de-escalate  D) Commercial: legal review","A","Issue contained, conduct addressed, customer reassured by clean process","Data-protection breach, external complaint, colleague-conduct precedent set wrong","High","People / Safety / Loss / Customer"
"Returns Spike on One SKU","14 returns of the same baby formula in 48 hours, same batch code. No recall yet.","What priority response do you take this shift?","A) Loss-control: pull the batch and notify supplier  B) People-team: brief team on the batch  C) Customer: refund quickly and gather details  D) Commercial: continue selling pending recall","A","Risk closed pre-recall, supplier escalation logged, customer-safety story is one of action","Customer-safety incident, brand and regulatory exposure, slow response becomes the story","High","Safety / Loss / Customer"
"Unplanned Supplier Demo","A supplier rep has set up sampling without booking. Engaging customers, blocking an aisle.","What priority response do you take this shift?","A) Loss-control: remove immediately  B) People-team: explain to the rep, find a slot  C) Customer: relocate to a non-blocking spot  D) Commercial: leave it, let the engagement build","D","Engagement and sales lift, supplier relationship built, aisle flow restored after relocation","Either you embarrass a supplier and lose goodwill, or aisle flow stays blocked and customer experience drops","Low","Commercial / Customer"
"Handwritten Closed Tills","A colleague hand-labelled three tills closed because they were ""too tired"". No authorisation.","What priority response do you take this shift?","A) Loss-control: discipline the colleague  B) People-team: 1:1 to understand what's behind it  C) Customer: reopen tills now  D) Commercial: leave closed, redirect customers","C","Tills reopen, queues clear, conversation with colleague handled separately and properly","Customer queues spike, colleague's underlying issue stays buried, the workaround becomes the norm","Medium","Customer / People"
"Overnight Stocktake Variance","A high-value category is off by 1.8%. Loss prevention is asking for a view.","What priority response do you take this shift?","A) Loss-control: investigate, brief LP  B) People-team: review process with night team  C) Customer: continue trade as normal  D) Commercial: write off and move on","A","Variance explained or addressed, LP relationship strengthened, repeat avoided","Variance widens, LP loses confidence in the store, theft pattern unchecked","Medium","Safety / Loss"
